Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Lesotho,LSO,415.5001187,377.4535887,348.3198669,510.4162979,645.4959592,710.5209821,736.3911944,816.8495857,826.8315402,859.8280659,1087.98277,1241.205706,1158.804222,1064.828322,1034.185288
Liberia,LBR,182.9427573,173.7378992,176.8341989,133.1531498,149.0590939,168.2067267,178.4531394,209.8116109,231.4432221,302.2760708,326.6044381,378.8140624,414.1851554,453.339457,457.8585865
Libya,LBY,7170.379234,6283.74364,3711.602774,4682.625724,5807.646288,8158.889554,9304.308502,11219.43296,14231.60089,10151.64587,11933.77926,5517.779569,13035.1922,10454.79255,6573.386737
Liechtenstein,LIE,74631.65055,74021.93978,79088.62729,89553.90607,99926.93656,104995.9855,113830.0286,129870.1857,142254.6916,125107.6711,140101.9673,157092.9694,149160.7581,..,..
Lithuania,LTU,3297.354701,3530.147337,4146.987928,5505.535669,6706.966998,7863.162009,9240.642548,12297.91535,14961.56818,11837.39103,11988.75797,14367.20932,14342.52348,15692.01291,16489.72898
Luxembourg,LUX,48992.31147,47680.38172,52240.89813,64669.93972,74970.92158,79494.20627,88680.23803,104841.4436,112851.4601,101221.81,103267.2765,113239.561,105447.0932,113726.639,116612.8842
"Macao SAR, China",MAC,14127.56667,14869.77842,15777.58352,17584.7896,22369.72801,25189.66799,30368.78652,36620.23463,40867.55578,40876.51527,53045.98951,67012.96343,77078.82118,90331.81913,96038.05072
"Macedonia, FYR",MKD,1875.127132,1835.014521,1980.752878,2431.836776,2787.773056,3063.595426,3351.30259,4063.74594,4821.540575,4566.341332,4561.177546,5079.962079,4709.511628,5195.283488,5455.594889
Madagascar,MDG,246.2826349,278.987457,262.7418133,317.4220231,245.6704573,275.5158271,292.9908931,379.067252,472.3791008,417.1783092,414.1427872,456.3293071,444.9584938,462.9739991,449.4008297
Malawi,MWI,155.7643582,149.3672432,226.0768307,200.5426971,211.5738168,216.1146186,237.6982592,270.241146,307.5778976,351.0797566,365.5165695,369.6043472,270.0875313,239.8697314,255.0445696
